Date,Germany,Austria,Switzerland
6/10/20,318,13,16
6/9/20,350,21,7
6/8/20,214,46,9
6/7/20,301,19,20
6/6/20,407,62,23
6/5/20,507,36,20
6/4/20,394,31,19
6/3/20,342,11,3
6/2/20,213,21,9
6/1/20,333,4,17
5/31/20,286,44,17
5/30/20,738,51,32
5/29/20,741,28,35
5/28/20,353,18,0
5/27/20,362,38,15
5/26/20,432,20,10
5/25/20,289,32,11
5/24/20,431,46,18
5/23/20,638,29,13
5/22/20,460,57,36
5/21/20,745,18,40
5/20/20,797,78,21
5/19/20,513,25,10
5/18/20,342,14,15
5/17/20,583,72,58
5/16/20,620,63,51
5/15/20,913,41,50
5/14/20,933,54,33
5/13/20,798,36,36
5/12/20,933,87,39
5/11/20,357,10,54
5/10/20,667,42,44
5/9/20,1251,62,81
5/8/20,1209,22,66
5/7/20,1194,65,51
5/6/20,1037,17,28
5/5/20,685,31,76
5/4/20,679,68,88
5/3/20,793,12,112
5/2/20,2584,34,119
5/1/20,0,60,179
4/30/20,1478,50,143
4/29/20,1304,58,100
4/28/20,1144,67,103
4/27/20,1018,55,167
4/26/20,1737,66,216
4/25/20,2055,83,181
4/24/20,2337,61,228
4/23/20,2352,91,205
4/22/20,2237,50,155
4/21/20,1785,73,168
4/20/20,1775,48,336
4/19/20,2458,59,325
4/18/20,3609,155,346
4/17/20,3380,78,315
4/16/20,2866,136,583
4/15/20,2486,191,254
4/14/20,2082,106,279
4/13/20,2537,130,400
4/12/20,2821,247,592
4/11/20,4133,312,733
4/10/20,5323,279,785
4/9/20,4974,329,546
4/8/20,4003,343,590
4/7/20,3834,314,552
4/6/20,3677,217,821
4/5/20,5936,241,974
4/4/20,6082,396,1033
4/3/20,6174,418,1124
4/2/20,6156,529,962
4/1/20,5453,564,696
3/31/20,4615,805,1138
3/30/20,4751,522,1122
3/29/20,3965,594,1048
3/28/20,6294,668,1390
3/27/20,5780,1141,1000
3/26/20,4954,606,925
3/25/20,2342,796,774
3/24/20,4438,855,1044
3/23/20,3311,607,894
3/22/20,3276,375,1237
3/21/20,4049,453,952
3/20/20,5940,550,878
3/19/20,1042,314,360
3/18/20,1144,316,450
3/17/20,1174,156,0
3/16/20,1043,205,841
3/15/20,733,151,238
3/14/20,693,143,267
3/13/20,802,115,212
3/12/20,271,64,152
3/11/20,157,51,116
3/10/20,237,29,42
3/9/20,55,3,68
3/8/20,163,25,55
3/7/20,284,33,122
3/6/20,138,12,30
3/5/20,66,5,20
3/4/20,39,6,7
3/3/20,28,4,6
3/2/20,18,4,6
3/1/20,54,3,6
2/29/20,10,2,4
2/28/20,26,3,7
2/27/20,4,0,0
2/26/20,2,2,1
2/25/20,0,0,0
2/24/20,0,0,0
2/23/20,0,0,0
2/22/20,0,0,0
2/21/20,0,0,0
2/20/20,0,0,0
2/19/20,0,0,0
2/18/20,0,0,0
2/17/20,0,0,0
2/16/20,0,0,0
2/15/20,0,0,0
2/14/20,0,0,0
2/13/20,0,0,0
2/12/20,2,0,0
2/11/20,0,0,0
2/10/20,0,0,0
2/9/20,0,0,0
2/8/20,1,0,0
2/7/20,1,0,0
2/6/20,0,0,0
2/5/20,0,0,0
2/4/20,2,0,0
2/3/20,1,0,0
2/2/20,1,0,0
2/1/20,2,0,0
1/31/20,1,0,0
1/30/20,0,0,0
1/29/20,3,0,0
1/28/20,1,0,0
1/27/20,0,0,0
1/26/20,0,0,0
1/25/20,0,0,0
1/24/20,0,0,0
1/23/20,0,0,0
1/22/20,0,0,0
1/21/20,0,0,0
1/20/20,0,0,0
1/19/20,0,0,0
1/18/20,0,0,0
1/17/20,0,0,0
1/16/20,0,0,0
1/15/20,0,0,0
1/14/20,0,0,0
1/13/20,0,0,0
1/12/20,0,0,0
1/11/20,0,0,0
1/10/20,0,0,0
1/9/20,0,0,0
1/8/20,0,0,0
1/7/20,0,0,0
1/6/20,0,0,0
1/5/20,0,0,0
1/4/20,0,0,0
1/3/20,0,0,0
1/2/20,0,0,0
1/1/20,0,0,0